iterations,iterations_proportions,validAccuracies
1830,0.19993444772205834,0.7739819604271314
3660,0.3998688954441167,0.7878548949504149
5490,0.599803343166175,0.7970853922961372
7320,0.7997377908882334,0.8042631575369934
9150,0.9996722386102918,0.8106320647630182
10983,1.1999344477220584,0.8147375289727503
12813,1.3998688954441167,0.81532887894998
14643,1.5998033431661751,0.817762250120649
16473,1.7997377908882333,0.8201684327866178
18303,1.9996722386102916,0.8218881057089062
20136,2.1999344477220584,0.8242195199869495
21966,2.3998688954441167,0.8223027304055845
23796,2.599803343166175,0.8209161166658737
25626,2.7997377908882335,0.8212219873437511
27456,2.999672238610292,0.822744543606963
29289,3.1999344477220584,0.8253410458058333
