iterations,iterations_proportions,validAccuracies
1285,0.19987556385129882,0.6649620860943309
2570,0.39975112770259763,0.7051986454439879
3855,0.5996266915538964,0.7231065005025911
5140,0.7995022554051953,0.7361153129239087
6425,0.999377819256494,0.745132674272219
7714,1.1998755638512988,0.751798104792669
8999,1.3997511277025976,0.7592637773375362
10284,1.5996266915538964,0.7588343791780929
11569,1.7995022554051952,0.7636943856190653
12854,1.999377819256494,0.7650313753427866
14143,2.199875563851299,0.7693058388390636
15428,2.3997511277025976,0.7680859577042813
16713,2.5996266915538966,0.7661146297904732
17998,2.799502255405195,0.7681249939005943
19283,2.999377819256494,0.7645629409870303
20572,3.199875563851299,0.769891381783759
