iterations,iterations_proportions,validAccuracies
7087,0.19997742599960497,0.48110255939951463
14174,0.39995485199920994,0.5021939725718155
21261,0.5999322779988149,0.5188727495908347
28348,0.7999097039984199,0.527507548394379
35435,0.9998871299980248,0.5367807861617473
42526,1.199977425999605,0.5437630509622439
49613,1.39995485199921,0.5445319995485073
56700,1.5999322779988148,0.5478917405045431
63787,1.7999097039984198,0.5482673965799424
70874,1.9998871299980248,0.5514878096958068
77965,2.199977425999605,0.5561808651729782
85052,2.39995485199921,0.552734705683165
92139,2.599932277998815,0.5512585360347649
99226,2.79990970399842,0.5498370393363057
106313,2.999887129998025,0.5504578418646651
113404,3.199977425999605,0.5559815734522264
