iterations,iterations_proportions,validAccuracies
1263,0.19987339768950782,0.5234170064351329
2526,0.39974679537901564,0.56246008743921
3789,0.5996201930685235,0.5807928476691064
5052,0.7994935907580313,0.5810974112099032
6315,0.9993669884475391,0.5926217026084394
7582,1.1998733976895077,0.5983298128407919
8845,1.3997467953790157,0.605619688559218
10108,1.5996201930685234,0.609333398830869
11371,1.7994935907580314,0.6035270422950336
12634,1.9993669884475391,0.6096969101537555
13901,2.1998733976895077,0.6136169376627204
15164,2.3997467953790155,0.6157587070786462
16427,2.5996201930685237,0.617419069607506
17690,2.7994935907580314,0.6102077909318662
18953,2.999366988447539,0.6129586874293854
20220,3.1998733976895077,0.617143979957754
21483,3.3997467953790155,0.6130078105811269
22746,3.5996201930685237,0.6158176548607359
24009,3.7994935907580314,0.605305300388073
25272,3.999366988447539,0.6067691703099671
26539,4.199873397689508,0.6141867662229209
