iterations,iterations_proportions,validAccuracies,randomAccuracies
647,0.199938195302843,0.5376430711794469,0.01611239377118436
1294,0.399876390605686,0.577933880237756,0.015591688362725353
1941,0.5998145859085291,0.5924055607407771,0.01583730412143243
2588,0.799752781211372,0.5940069754875473,0.015689934666208185
3235,0.9996909765142151,0.6013459743577148,0.01612221840153264
3883,1.199938195302843,0.603713710271651,0.015758707078646166
4530,1.3998763906056861,0.6109348135776391,0.015591688362725353
5177,1.599814585908529,0.6137446578572481,0.015542565210983936
5824,1.799752781211372,0.608016898364199,0.01577835633934273
6471,1.999690976514215,0.6115930638109741,0.016033796728398095
7119,2.199938195302843,0.615788180969691,0.015405020386107972
7766,2.399876390605686,0.6154443189075011,0.014913788868693816
8413,2.599814585908529,0.6156211622537702,0.015748882448297884
9060,2.7997527812113723,0.6044309082870757,0.014874490347300684
9707,2.999690976514215,0.6070933831114604,0.01565063614481505
10355,3.199938195302843,0.60881269342241,0.015385371125411407
11002,3.399876390605686,0.6021908925676671,0.014658348479638454
11649,3.599814585908529,0.6054919683646903,0.015758707078646166
12296,3.7997527812113723,0.5971410325686496,0.01632853563884659
12943,3.999690976514215,0.6008252689492558,0.015572039102028786
13591,4.199938195302843,0.5959719015572039,0.016407132681632852
