iterations,iterations_proportions,trainLosses,validLosses,randomLosses
485,0.19967064635652532,1.659793858306924,1.1491698067967255,4.158882619524159
970,0.39934129271305063,1.364482393830093,1.0273578741369467,4.158882619524159
1455,0.599011939069576,1.2379930089019828,0.9614992194836682,4.158882619524159
1940,0.7986825854261013,1.1651199143264712,0.929401981358481,4.158882619524159
2425,0.9983532317826266,1.1154495103826227,0.9053154601515716,4.158882619524159
2914,1.1996706463565254,0.8878047081613049,0.9003344988665565,4.158882619524159
3399,1.3993412927130506,0.8743979269081784,0.8903227031427642,4.158882619524159
3884,1.599011939069576,0.8632116288663595,0.8773068284044171,4.158882619524159
4369,1.7986825854261013,0.852645112896703,0.8753962981032066,4.158882619524159
4854,1.9983532317826267,0.8425670519809133,0.8732444663645804,4.158882619524159
5343,2.1996706463565254,0.7803222036853279,0.8784064170550985,4.158882619524159
5828,2.399341292713051,0.7677350591752947,0.8824042644437784,4.158882619524159
6313,2.599011939069576,0.7560405432563467,0.8849050992786294,4.158882619524159
6798,2.7986825854261013,0.7429851650884471,0.9185703512859029,4.158882619524159
7283,2.9983532317826267,0.7311207668314275,0.9332576972423213,4.158882619524159
7772,3.1996706463565254,0.6638648885427062,0.9388792487260925,4.158882619524159
8257,3.399341292713051,0.6484642849447801,0.9399666963237348,4.158882619524159
8742,3.599011939069576,0.6338963063516977,0.9790940316203404,4.158882619524159
9227,3.7986825854261013,0.6192951030030693,1.0399014216051636,4.158882619524159
9712,3.9983532317826267,0.6052697253841715,1.1023673090604271,4.158882619524159
