iterations,iterations_proportions,trainLosses,validLosses
948,0.19983136593591905,1.674277316417372,1.220074460451359
1896,0.3996627318718381,1.3976800359691246,1.069122346320955
2844,0.5994940978077572,1.2745727019806283,0.9944098019363856
3792,0.7993254637436762,1.1991247712371218,0.9492505497664901
4740,0.9991568296795953,1.1462015230570162,0.9281945832491708
5692,1.199831365935919,0.963619705493943,0.9221938905542834
6640,1.3996627318718382,0.9167025074174132,0.9011787026628802
7588,1.5994940978077572,0.892667245994808,0.8823751136414683
8536,1.7993254637436762,0.8752363871955922,0.8797279869762584
9484,1.9991568296795952,0.8607234883157513,0.8690178170062528
10436,2.199831365935919,0.8431806392056026,0.8659992332112277
11384,2.399662731871838,0.7998060428769277,0.8735154351778943
12332,2.599494097807757,0.776544730539228,0.8662232048440688
13280,2.7993254637436764,0.7590507370683086,0.8931732889842672
14228,2.9991568296795954,0.7446044358145839,0.8773814382726209
15180,3.199831365935919,0.7406476502177082,0.8609884141301951
16128,3.399662731871838,0.6867261650473006,0.9109980603649278
17076,3.599494097807757,0.6574573056712097,0.914455789150578
18024,3.7993254637436764,0.6352647235184782,0.9819191271322395
18972,3.9991568296795954,0.6177989163793592,0.9624679952171376
19924,4.199831365935919,0.6229310027217563,0.9067675628677847
