iterations,iterations_proportions,trainLosses,validLosses
1729,0.19993061979648474,1.4288844263160623,1.0045473698664595
3458,0.3998612395929695,1.1758925275970842,0.8896588840418391
5187,0.5997918593894542,1.0671756927714726,0.8243711886582551
6916,0.799722479185939,1.003310697074568,0.7954349768382531
8645,0.9996530989824237,0.9589635681113182,0.7724250986068337
10377,1.1999306197964847,0.7600661545319665,0.7630407714733372
12106,1.3998612395929695,0.7447106864684714,0.7621565302764928
13835,1.5997918593894542,0.7330944502149126,0.7519373709956805
15564,1.799722479185939,0.7230907387346323,0.744508862109096
17293,1.9996530989824237,0.7139023666715539,0.7470071953203943
19025,2.1999306197964845,0.6660632171714974,0.7501022016008695
20754,2.3998612395929695,0.6549662406421107,0.7607789630139316
22483,2.599791859389454,0.6460964288558946,0.7578826945688989
24212,2.799722479185939,0.6385845072295985,0.7684954495341689
