iterations,iterations_proportions,trainLosses,validLosses,randomLosses
785,0.2,1.4310594172234747,1.0565961672038566,4.158882619888802
1570,0.4,1.2301470938381875,0.9936020771662394,4.158882619888802
2355,0.6,1.1450686254825309,0.9597638273626808,4.158882619888802
3140,0.8,1.093568196304285,0.9298822335838303,4.158882619888802
3925,1.0,1.0599709058567217,0.9132984456250338,4.158882619888802
4710,1.2,0.902840722366503,0.9112882035049966,4.158882619888802
5495,1.4,0.88800054416535,0.9005214884513761,4.158882619888802
6280,1.6,0.8759516264729186,0.8979367605312084,4.158882619888802
7065,1.8,0.864533247499709,0.8781423738332299,4.158882619888802
7850,2.0,0.8557238445464214,0.8821746910490641,4.158882619888802
8635,2.2,0.8074323933595305,0.8831902403172439,4.158882619888802
9420,2.4,0.7934500477496226,0.8974637441276535,4.158882619888802
10205,2.6,0.7813272578447994,0.9108100739436421,4.158882619888802
10990,2.8,0.7694207152743249,0.8975697404485408,4.158882619888802
11775,3.0,0.7604397936231772,0.9131028327515455,4.158882619888802
12560,3.2,0.7129352445055724,0.9310005604009318,4.158882619888802
13345,3.4,0.6978639403346237,0.9499920943403631,4.158882619888802
14130,3.6,0.6850509010429342,0.9791783679549287,4.158882619888802
14915,3.8,0.6731577558976829,0.97788449067895,4.158882619888802
