iterations,iterations_proportions,validAccuracies
948,0.19983136593591905,0.579239093049713
1896,0.3996627318718381,0.6204725242744134
2844,0.5994940978077572,0.6431595100140223
3792,0.7993254637436762,0.656864301399582
4740,0.9991568296795953,0.6617191840622272
5692,1.199831365935919,0.6653041246659788
6640,1.3996627318718382,0.672526920125936
7588,1.5994940978077572,0.677434717041035
8536,1.7993254637436762,0.6802656295473186
9484,1.9991568296795952,0.6813768288488504
10436,2.199831365935919,0.6850675979575098
11384,2.399662731871838,0.681866285684049
12332,2.599494097807757,0.6857290261131835
13280,2.7993254637436764,0.6835198560732333
14228,2.9991568296795954,0.6829113421700135
15180,3.199831365935919,0.6905442230864883
16128,3.399662731871838,0.681363600285737
17076,3.599494097807757,0.6820117998782972
18024,3.7993254637436764,0.6768791173902691
18972,3.9991568296795954,0.676402889118184
19924,4.199831365935919,0.6862449400746091
