iterations,iterations_proportions,validAccuracies
1729,0.19993061979648474,0.7100748480806284
3458,0.3998612395929695,0.7365051133837262
5187,0.5997918593894542,0.7548169556840078
6916,0.799722479185939,0.7606825255669186
8645,0.9996530989824237,0.7675855935971543
10377,1.1999306197964847,0.7696383577886468
12106,1.3998612395929695,0.7682043871350229
13835,1.5997918593894542,0.7721542907959092
15564,1.799722479185939,0.7742366977916111
17293,1.9996530989824237,0.7768674966651845
19025,2.1999306197964845,0.775392767155773
20754,2.3998612395929695,0.7727804950348303
22483,2.599791859389454,0.7722802727137987
24212,2.799722479185939,0.7715095598043575
