iterations,iterations_proportions,validAccuracies
937,0.19991465756347343,0.780439230293432
1874,0.39982931512694686,0.7930343050958055
2811,0.5997439726904203,0.8047661448739473
3748,0.7996586302538937,0.8117331992033768
4685,0.9995732878173672,0.8158794461701593
5624,1.1999146575634734,0.8188361960563074
6561,1.399829315126947,0.8191420667341848
7498,1.5997439726904203,0.8209093195396986
8435,1.7996586302538937,0.8229416602660395
9372,1.999573287817367,0.8244234337722011
10311,2.1999146575634736,0.8234242562244682
11248,2.3998293151269467,0.8226629780928624
12185,2.5997439726904203,0.8194547345382373
13122,2.799658630253894,0.8195838799355633
14059,2.999573287817367,0.8209161166658737
14998,3.1999146575634736,0.8182516432052528
