iterations,iterations_proportions,validAccuracies
1369,0.1999123831775701,0.32580721704053883
2738,0.3998247663551402,0.37583733367404676
4107,0.5997371495327103,0.39605198313468526
5476,0.7996495327102804,0.41248836402796285
6845,0.9995619158878505,0.4277930896015478
8217,1.19991238317757,0.42388705349809264
9586,1.3998247663551402,0.437019730958074
10955,1.5997371495327102,0.44294266888130396
12324,1.7996495327102804,0.44400131418037125
13693,1.9995619158878504,0.4497599795571942
15065,2.19991238317757,0.4479986128096081
16434,2.39982476635514,0.4515761038202493
17803,2.5997371495327104,0.45262562286673846
19172,2.7996495327102804,0.4522331940058773
20541,2.9995619158878504,0.4548250497380765
21913,3.19991238317757,0.45254348659353494
23282,3.39982476635514,0.45104678117071567
24651,3.5997371495327104,0.4503896909850877
26020,3.7996495327102804,0.44661142241772683
