iterations,iterations_proportions,validAccuracies
1533,0.19997391077485,0.6106435965883196
3066,0.3999478215497,0.6368985611042386
4599,0.5999217323245499,0.6450452503418191
6132,0.7998956430994,0.6522804219024676
7665,0.9998695538742499,0.6629988931571066
9199,1.19997391077485,0.6647568201054757
10732,1.3999478215496999,0.6693632397942575
12265,1.59992173232455,0.6700957093560779
13798,1.7998956430994,0.6779087180154958
15331,1.99986955387425,0.6788202356924279
16865,2.19997391077485,0.6790806693144085
18398,2.3999478215497,0.6770134774399374
19931,2.59992173232455,0.6777052542483235
21464,2.7998956430993998,0.6814652646656684
22997,2.99986955387425,0.6801468194543916
