iterations,iterations_proportions,validAccuracies
1245,0.1999357636100851,0.7244184672908717
2490,0.3998715272201702,0.7433860123984982
3735,0.5998072908302553,0.7615420567947776
4980,0.7997430544403404,0.7693540351616067
6225,0.9996788180504256,0.7728927945927345
7472,1.1999357636100851,0.7761439335185746
8717,1.3998715272201703,0.7803041586843417
9962,1.5998072908302554,0.7818655271416172
11207,1.7997430544403406,0.7822250527732266
12452,1.9996788180504255,0.7812954222114935
13699,2.199935763610085,0.7831135946913472
14944,2.3998715272201703,0.7842024437470788
16189,2.599807290830255,0.7820093373942609
17434,2.7997430544403406,0.7828259741860597
18679,2.9996788180504255,0.7807920863272402
19926,3.199935763610085,0.7816600839235546
