iterations,iterations_proportions,validAccuracies,randomAccuracies
485,0.19967064635652532,0.6022964785564991,0.015861047173056062
970,0.39934129271305063,0.6369023996613488,0.01527899039606318
1455,0.599011939069576,0.6525385612614758,0.015318676085403604
1940,0.7986825854261013,0.6636770114030214,0.015570018784559622
2425,0.9983532317826266,0.6712040638145884,0.015980104241077334
2914,1.1996706463565254,0.6714950922030849,0.016337275445141148
3399,1.3993412927130506,0.6770114030214038,0.015173161891155383
3884,1.599011939069576,0.6810461147710136,0.014670476492843348
4369,1.7986825854261013,0.6836389131412546,0.015781675794375213
4854,1.9983532317826267,0.6851205122099637,0.015146704764928434
5343,2.1996706463565254,0.6819985713151837,0.015027647696907162
5828,2.399341292713051,0.6838108844617298,0.015464190279651823
6313,2.599011939069576,0.6828319707913326,0.01576844723126174
6798,2.7986825854261013,0.6783871735852052,0.015107019075588009
7283,2.9983532317826267,0.6800010582850491,0.015186390454268858
7772,3.1996706463565254,0.6789030875466306,0.015411276027197926
8257,3.399341292713051,0.6794719157605101,0.014670476492843348
8742,3.599011939069576,0.6755430325158082,0.015808132920602163
9227,3.7986825854261013,0.6633198401989576,0.014683705055956823
9712,3.9983532317826267,0.6676323517739503,0.015067333386247586
