iterations,iterations_proportions,trainLosses,validLosses,randomLosses
647,0.199938195302843,1.4612408853387906,1.1346478652135998,4.158882619119158
1294,0.399876390605686,1.272293835555936,1.0477622351517863,4.158882619119158
1941,0.5998145859085291,1.1914427639405056,1.0054870816130264,4.158882619119158
2588,0.799752781211372,1.1437840278172604,0.991190818010592,4.158882619119158
3235,0.9996909765142151,1.110603951357616,0.966679114337061,4.158882619119158
3883,1.199938195302843,0.9555367141086867,0.9603588300592759,4.158882619119158
4530,1.3998763906056861,0.9451659994294875,0.9469554552844927,4.158882619119158
5177,1.599814585908529,0.9362663448870274,0.9469439854808882,4.158882619119158
5824,1.799752781211372,0.9288385995250581,0.9520084952899054,4.158882619119158
6471,1.999690976514215,0.9219764170174989,0.9370112050982082,4.158882619119158
7119,2.199938195302843,0.8754213206366372,0.9353306876385913,4.158882619119158
7766,2.399876390605686,0.865350148132448,0.9422289064409686,4.158882619119158
8413,2.599814585908529,0.8552518185114872,0.9550528611038246,4.158882619119158
9060,2.7997527812113723,0.8469284002941211,0.9707402893725563,4.158882619119158
9707,2.999690976514215,0.8397946198904164,0.9647909890787274,4.158882619119158
10355,3.199938195302843,0.783709373227227,0.9804380614967907,4.158882619119158
11002,3.399876390605686,0.7699397041403344,1.001300120032301,4.158882619119158
11649,3.599814585908529,0.7559729290340194,1.0299103179690885,4.158882619119158
12296,3.7997527812113723,0.7458384825604776,1.0515347355428863,4.158882619119158
12943,3.999690976514215,0.7383683593416878,1.0409082879914957,4.158882619119158
13591,4.199938195302843,0.6743202635549136,1.133174320500271,4.158882619119158
