iterations,iterations_proportions,trainLosses,validLosses
1263,0.19987339768950782,1.6123168551534863,1.1820536401926303
2526,0.39974679537901564,1.3654895915649095,1.0776761688438117
3789,0.5996201930685235,1.261771859217206,1.0354118927144538
5052,0.7994935907580313,1.202502995646859,1.0187825487524855
6315,0.9993669884475391,1.1622344975799959,0.9930089307474155
7582,1.1998733976895077,1.029380524668161,0.9856474218415279
8845,1.3997467953790157,0.9929865060443456,0.9669572767965934
10108,1.5996201930685234,0.9746164320231931,0.9594793584124715
11371,1.7994935907580314,0.9616889576423951,0.9613939073740267
12634,1.9993669884475391,0.9508461661312378,0.9472683105690807
13901,2.1998733976895077,0.9384137527487718,0.9422471862213284
15164,2.3997467953790155,0.9042523597689347,0.9403395762338358
16427,2.5996201930685237,0.8868984550937684,0.9489439709805975
17690,2.7994935907580314,0.8741502668280877,0.9535425328740886
18953,2.999366988447539,0.8626953593625591,0.9491612021537388
20220,3.1998733976895077,0.8560037407625882,0.932538293448149
21483,3.3997467953790155,0.8131292092120562,0.9625605796189869
22746,3.5996201930685237,0.7907326060223624,0.987631485888771
24009,3.7994935907580314,0.7738713712467622,0.9977802008974785
25272,3.999366988447539,0.7584795942027136,1.0071483996568942
26539,4.199873397689508,0.7617859318911415,0.9616879975678874
