iterations,iterations_proportions,validAccuracies,randomAccuracies
481,0.19983381803074365,0.3071574151780362,0.01559898226964526
962,0.3996676360614873,0.3612676337769252,0.015852082750536175
1443,0.599501454092231,0.39418401737068565,0.015892045984361055
1924,0.7993352721229746,0.41419227643900947,0.015132744541688314
2405,0.9991690901537184,0.4249557074158441,0.015878724906419426
2888,1.1998338180307437,0.4298045797865963,0.01599861460789407
3369,1.3996676360614873,0.42952483714982215,0.014932928372563908
3850,1.599501454092231,0.4430590523385152,0.0158654038284778
4331,1.7993352721229747,0.44672234877246264,0.015492413646112244
4812,1.9991690901537182,0.4482143095019249,0.015692229815236648
5295,2.1998338180307435,0.4507719564667173,0.01550573472405387
5776,2.3996676360614875,0.44071454262078885,0.014986212684330416
6257,2.599501454092231,0.448067777644567,0.015665587659353396
6738,2.7993352721229745,0.4451104983415258,0.01599861460789407
7219,2.9991690901537185,0.4448307557047516,0.015545697957878751
7702,3.1998338180307435,0.4481343830342751,0.015678908737295022
8183,3.3996676360614875,0.4347866629367648,0.0160119356858357
8664,3.599501454092231,0.43971546177516685,0.015612303347586887
9145,3.7993352721229745,0.4307636973983935,0.01514606561962994
9626,3.9991690901537185,0.4347600207808816,0.01478639651520601
