iterations,iterations_proportions,validAccuracies,randomAccuracies
701,0.19994295493439818,0.34597623523828647,0.015386861846788471
1402,0.39988590986879635,0.4003413218464234,0.015350356836475806
2103,0.5998288648031945,0.4208297588844069,0.015852300728274957
2804,0.7997718197375927,0.42910726997280374,0.016299487104605107
3505,0.9997147746719909,0.4396480917005859,0.01584317447569679
4207,1.199942954934398,0.44322558271122714,0.015660649424133463
4908,1.3998859098687964,0.44303393140708563,0.01514045302717798
5609,1.5998288648031944,0.44650190738678885,0.015487250625148302
6310,1.7997718197375927,0.4474875426652308,0.015496376877726467
7011,1.9997147746719908,0.45073648858305804,0.015587639403508132
7713,2.1999429549343983,0.4495500757478964,0.016080457042729115
8414,2.399885909868796,0.44565316589701937,0.015249968058115976
9115,2.5998288648031944,0.4416011097523135,0.015313851826163141
9816,2.7997718197375927,0.4440651979484184,0.015432493109679304
10517,2.999714774671991,0.44574442842280104,0.016153467063354444
11219,3.1999429549343983,0.442176063664738,0.015551134393195465
11920,3.399885909868796,0.43458302151970357,0.015961815759212954
12621,3.5998288648031944,0.4305400916275759,0.015167831784912478
13322,3.7997718197375927,0.4316534944421122,0.015989194516947452
14023,3.999714774671991,0.42847755854491026,0.015450745614835636
14725,4.199942954934398,0.42792085713764216,0.015870553233431287
