iterations,iterations_proportions,validAccuracies
1531,0.19994776021940708,0.6445121415390023
3062,0.39989552043881416,0.6812275863800513
4593,0.5998432806582212,0.7069836341344001
6124,0.7997910408776283,0.7182317667686308
7655,0.9997388010970354,0.7251990810677357
9188,1.199947760219407,0.7298565109865968
10719,1.3998955204388142,0.7384265168031535
12250,1.5998432806582212,0.7393094617383554
13781,1.7997910408776283,0.7428286877597051
15312,1.9997388010970354,0.7425022910538011
16845,2.1999477602194073,0.7436112029392442
18376,2.399895520438814,0.7468040322546898
19907,2.5998432806582215,0.7442639963510522
21438,2.7997910408776283,0.7450339578111335
22969,2.9997388010970356,0.7449377126286233
24502,3.1999477602194073,0.743025362697878
26033,3.399895520438814,0.7445025170207513
