iterations,validAccuracies,randomAccuracies
3629,0.42246493876629604,0.015638227326598565
7258,0.4454822506913483,0.015899246571476944
10887,0.45974307240814943,0.015599427168576105
14516,0.4679687059089113,0.015627645465319712
18145,0.47281167108753314,0.015544754218635362
21774,0.476030320559851,0.015654100118516846
25403,0.4786034764941588,0.015657627405609796
29032,0.4806052119194085,0.015744045939387098
32661,0.4852876855353011,0.015696427563632258
36290,0.4860725069134827,0.01527315311247813
39919,0.48792256899373554,0.015647045544330943
43548,0.4881818245950674,0.015777555166770135
47177,0.487961369151758,0.015745809582933572
50806,0.4902541057621762,0.015696427563632258
54435,0.49339868220554206,0.015812828037699643
58064,0.49182727580563235,0.015627645465319712
61693,0.49318351769287205,0.01538073536881314
65322,0.4931112083074666,0.015437171962300355
