iterations,trainLosses,validLosses,randomLosses
785,1.7118195383412063,1.2770538415054198,4.15888261989275
1570,1.460582691658834,1.1710501348413906,4.15888261989275
2355,1.3503828701446516,1.1110694426625907,4.15888261989275
3140,1.2854430487201471,1.0901010332670813,4.15888261989275
3925,1.2407242235408467,1.0593013788920556,4.15888261989275
4710,0.9906723068018628,1.0429152286708234,4.15888261989275
5495,0.9875429566498775,1.0366336663240328,4.15888261989275
6280,0.98639160627519,1.0275583270853745,4.15888261989275
7065,0.9834868608766301,1.0120570422918393,4.15888261989275
7850,0.9808656174513944,1.0036296284854291,4.15888261989275
8635,0.8740699030031824,1.0146762186058185,4.15888261989275
9420,0.8764279562196914,1.0140630289639085,4.15888261989275
10205,0.8807909173064424,1.010199720286546,4.15888261989275
