iterations,validAccuracies,randomAccuracies
701,0.28012119663423807,0.015478124372570136
1402,0.33695037143847995,0.016208224578823444
2103,0.3564166681877088,0.014592877872488
2804,0.3691112855239382,0.015578513150929965
3505,0.3774070491174914,0.015295599321006808
4207,0.3849088287367441,0.015669775676711628
4908,0.38685272053589354,0.015377735594210306
5609,0.38878748608246483,0.015505503130304634
6310,0.38980962637121946,0.015459871867413802
7011,0.39333235986639165,0.015176958037490645
7713,0.3938616825159253,0.015259094310694143
8414,0.39220070454669903,0.01524084180553781
9115,0.3879022395823827,0.01564239691897713
9816,0.3847993137058061,0.01581579571796229
