iterations,validAccuracies,randomAccuracies
528,0.4022190728829778,0.015116828373124024
1056,0.4594885957580823,0.01634022554114127
1584,0.48843829112007464,0.016025291616701187
2112,0.5007691655462286,0.015819373281490363
2640,0.5105926814201097,0.015359085238077934
3170,0.5191322359097351,0.015274295335344065
3698,0.5222573494676406,0.016194871422168924
4226,0.5278898215778189,0.015250069648848674
4754,0.5329045386823649,0.015116828373124024
5282,0.5389367346197173,0.016267548481655097
5812,0.5332436982933004,0.015443875140811802
6340,0.5384401080465617,0.0157224705355088
6868,0.5389851859927081,0.015589229259784149
