iterations,iterations_proportions,trainLosses,validLosses
6836,0.1999941487961148,1.1527592626282037,1.0097632238241652
13672,0.3999882975922296,1.062775142320839,0.9486787289192714
20508,0.5999824463883444,1.0159124398332648,0.9105895133730457
27344,0.7999765951844592,0.9860408042299775,0.8868670990699743
34180,0.999970743980574,0.9643093809790608,0.8741665505397636
41017,1.1999941487961148,0.8624474397087181,0.8630776126072832
47853,1.3999882975922295,0.8565705902198729,0.8531892339407128
54689,1.5999824463883443,0.8503883585947076,0.8472515467790595
61525,1.7999765951844593,0.8452384554355412,0.8380077445699547
68361,1.999970743980574,0.8405090585394587,0.836259363393942
75198,2.1999941487961148,0.8154952996407705,0.8334941522678391
82034,2.3999882975922295,0.812834554353501,0.831761145268116
88870,2.5999824463883443,0.8094432952577477,0.8261734454073282
95706,2.799976595184459,0.8067549468438272,0.8225158476422214
102542,2.999970743980574,0.8042084398361729,0.8251704649933044
109379,3.1999941487961148,0.7901624515347484,0.8243303869609221
116215,3.3999882975922295,0.7887754557581238,0.8213870351414421
123051,3.5999824463883443,0.7864742007274388,0.8208421120843368
129887,3.799976595184459,0.784634645195594,0.8186402506803757
136723,3.999970743980574,0.7828920216693593,0.8222254408680804
143560,4.199994148796115,0.7735079288081581,0.822544811482232
150396,4.3999882975922295,0.7728045126450487,0.8278783128631497
157232,4.599982446388345,0.7708447809651369,0.8228718806646648
164068,4.799976595184459,0.769454183572475,0.8234344234294699
