iterations,iterations_proportions,validAccuracies
734,0.1998366457936292,0.7507369372972879
1468,0.3996732915872584,0.7691364573098093
2202,0.5995099373808875,0.7812144031025278
2936,0.7993465831745168,0.7855012477935358
3670,0.9991832289681459,0.7907445892715842
4407,1.1998366457936291,0.79381407441545
5141,1.3996732915872583,0.7968313870072955
5875,1.5995099373808876,0.7964487882924793
6609,1.7993465831745168,0.7981096145317949
7343,1.999183228968146,0.7985617766493048
8080,2.199836645793629,0.800361729694008
8814,2.3996732915872583,0.8004312930967018
9548,2.5995099373808874,0.7977531020929889
10282,2.7993465831745166,0.799135674721529
11016,2.9991832289681457,0.7993704512056207
11753,3.199836645793629,0.7977878837943359
