iterations,iterations_proportions,trainLosses,validLosses,randomLosses
701,0.19994295493439818,2.5194843432702623,2.112385492933095,4.158882619036629
1402,0.39988590986879635,2.2462832847777516,1.8879906848785817,4.158882619036629
2103,0.5998288648031945,2.1114650618956308,1.8089158108674313,4.158882619036629
2804,0.7997718197375927,2.028565176755998,1.7526755102131524,4.158882619036629
3505,0.9997147746719909,1.9709678279180158,1.7286674044941444,4.158882619036629
4207,1.199942954934398,1.6990339846141669,1.6973533462011732,4.158882619036629
4908,1.3998859098687964,1.6752438752695429,1.7067181417773687,4.158882619036629
5609,1.5998288648031944,1.652900528919113,1.7114999712463934,4.158882619036629
6310,1.7997718197375927,1.6365528247835972,1.6833025154600383,4.158882619036629
7011,1.9997147746719908,1.6211286848179793,1.6870915791982941,4.158882619036629
7713,2.1999429549343983,1.5332575046727048,1.6799488002455587,4.158882619036629
8414,2.399885909868796,1.5099827955010614,1.7207016217138338,4.158882619036629
9115,2.5998288648031944,1.48893786519695,1.7654833253260898,4.158882619036629
9816,2.7997718197375927,1.4740697705796715,1.7310398472197235,4.158882619036629
10517,2.999714774671991,1.45978908106876,1.72984217375449,4.158882619036629
11219,3.1999429549343983,1.3824454545974731,1.756940436797696,4.158882619036629
11920,3.399885909868796,1.3573493829127214,1.8312001032818424,4.158882619036629
12621,3.5998288648031944,1.3346875119764805,1.9098593099785286,4.158882619036629
13322,3.7997718197375927,1.3210505032845468,1.8564745147027295,4.158882619036629
14023,3.999714774671991,1.3074776879730987,1.8704437940701808,4.158882619036629
14725,4.199942954934398,1.2423344396490514,1.9419515257815836,4.158882619036629
