iterations,trainLosses,validLosses,randomLosses
485,2.0659222096512,1.4137884449250628,4.158882619524159
970,1.67164019512147,1.1992651318559553,4.158882619524159
1455,1.498871380725677,1.123778793874747,4.158882619524159
1940,1.399243351847855,1.0846075657570715,4.158882619524159
2425,1.331488149362741,1.0526758086169907,4.158882619524159
2914,1.0286826040326935,1.0454572089041028,4.158882619524159
3399,1.01071609442996,1.0340399970315863,4.158882619524159
3884,0.9942474209156233,1.0251550306581427,4.158882619524159
4369,0.9804068769683543,1.0242285063557892,4.158882619524159
4854,0.9669803821917662,1.012712851412619,4.158882619524159
5343,0.8897116642637352,1.0201122951586254,4.158882619524159
5828,0.8729913325039382,1.0540834177445264,4.158882619524159
6313,0.8555310142818595,1.0484526605889348,4.158882619524159
