iterations,validAccuracies,randomAccuracies
481,0.2635002993414488,0.015632275660214197
962,0.31751480077163574,0.015499235016297479
1443,0.3425663540211535,0.015060200891372314
1924,0.3689483137098384,0.015818532561697598
2405,0.38185325616975985,0.01592496507683097
2887,0.3887979777822125,0.01525976185724739
3368,0.39566287500831504,0.016044701656356016
3849,0.3977117009246325,0.01565888378899754
4330,0.40629282245726067,0.016004789463181002
4811,0.41241269207742964,0.01486063992549724
5293,0.41508680902015566,0.016004789463181002
5774,0.4136366660014634,0.014913856183063927
6255,0.4207942526441828,0.015379498436772434
6736,0.42014235348899087,0.016284174815406106
7217,0.416936073970598,0.015392802501164106
7699,0.41456795050888046,0.014993680569413956
8180,0.4207543404510078,0.016031397591964345
