iterations,trainLosses,validLosses,randomLosses
485,2.011851790762439,1.4206169604470855,4.158882619518983
970,1.6497660781304861,1.1793238091233529,4.158882619518983
1455,1.4850566143842088,1.1150432319233292,4.158882619518983
1940,1.3891198907930826,1.075997791988285,4.158882619518983
2425,1.322676450026404,1.0316103526244038,4.158882619518983
2913,0.9811592340469361,1.0296744857179492,4.158882619518983
3398,0.9814689651592491,1.006876694724748,4.158882619518983
3883,0.9747680857419149,0.9936181079400214,4.158882619518983
4368,0.9717922606111802,0.98681234705605,4.158882619518983
4853,0.9677388170330795,0.9646460980569062,4.158882619518983
5341,0.8324772990855974,0.9955719034922751,4.158882619518983
5826,0.8374705318323116,0.975178095855211,4.158882619518983
6311,0.8419567899605662,0.9829571931377837,4.158882619518983
