iterations,trainLosses,validLosses,randomLosses
701,2.9986694651561523,2.530054651794781,4.158882619036629
1402,2.691910164672536,2.271399537631754,4.158882619036629
2103,2.5347002928902067,2.1783457902134957,4.158882619036629
2804,2.43619318342583,2.1002343504738428,4.158882619036629
3505,2.365551287063348,2.072084222133176,4.158882619036629
4207,2.034931208029623,2.0315798230486197,4.158882619036629
4908,2.003745525862793,2.021654995264388,4.158882619036629
5609,1.9745714676930006,2.0300039704676913,4.158882619036629
6310,1.9524245466638395,2.005892894262605,4.158882619036629
7011,1.932123323514016,2.0027176907502438,4.158882619036629
7713,1.8219775765836663,2.0021223641745323,4.158882619036629
8414,1.7927137715330137,2.035770393721335,4.158882619036629
9115,1.7651304027550117,2.0877566427196075,4.158882619036629
9816,1.7450473029671314,2.0805595160073733,4.158882619036629
