iterations,iterations_proportions,trainLosses,validLosses
937,0.19991465756347343,0.8588548513524942,0.6226013682289318
1874,0.39982931512694686,0.7324313977643799,0.5797969047707491
2811,0.5997439726904203,0.6771789594970535,0.5487683881928034
3748,0.7996586302538937,0.642382171804139,0.5290724551637225
4685,0.9995732878173672,0.6192380400006774,0.5133140613348658
5624,1.1999146575634734,0.5091550788477366,0.5029158137852551
6561,1.399829315126947,0.5013122458881604,0.5005055329492015
7498,1.5997439726904203,0.4933558651579101,0.5007078137583968
8435,1.7996586302538937,0.48536377165589795,0.4934292681047184
9372,1.999573287817367,0.4792061672839182,0.4921991321145982
10311,2.1999146575634736,0.44341885385162166,0.49055908784801566
11248,2.3998293151269467,0.4358120513095927,0.4982107779064891
12185,2.5997439726904203,0.42664459925535864,0.5193284303708878
13122,2.799658630253894,0.41824692049985124,0.5229443992236676
14059,2.999573287817367,0.4116419208787676,0.5172185287107232
14998,3.1999146575634736,0.37447777506572333,0.525708681152713
