iterations,trainLosses,validLosses,randomLosses
528,2.4160689293886675,1.9296933182056577,4.1588826193910355
1056,2.1016038559151418,1.690372039904407,4.1588826193910355
1584,1.9497443021397398,1.5837538256746044,4.1588826193910355
2112,1.8528466359571074,1.5268374141249412,4.1588826193910355
2640,1.7849303570660677,1.4875746439590916,4.1588826193910355
3170,1.385785746755022,1.471508256258201,4.1588826193910355
3698,1.3831897263951374,1.45129562540717,4.1588826193910355
4226,1.380019884970453,1.4352994685446747,4.1588826193910355
4754,1.375606728153247,1.4119672587991121,4.1588826193910355
5282,1.3720008722760462,1.3909472083036993,4.1588826193910355
5812,1.17207290164449,1.4292750988842138,4.1588826193910355
6340,1.1896714909623067,1.4083968581029656,4.1588826193910355
6868,1.1972969609002273,1.3988823451304364,4.1588826193910355
