iterations,validAccuracies,randomAccuracies
3629,0.4288740194141882,0.015398371804277894
7258,0.44957919464981094,0.015610009029854958
10887,0.4593127433828094,0.015347226141430104
14516,0.469328475083244,0.01561706360404086
18145,0.47445009594220894,0.015789900671595462
21774,0.47807261978666965,0.01579871888932784
25403,0.47934773407077147,0.015514772278345279
29032,0.48159814323607425,0.01576344601839833
32661,0.48409546249788366,0.015867500987640386
36290,0.4846439556408375,0.015467153902590439
39919,0.48737407585078163,0.0155853180202043
43548,0.48754514927478976,0.015694663920085783
47177,0.48777089564873866,0.015627645465319712
50806,0.48871620858964954,0.015488317625148147
54435,0.4876033495118235,0.01601564704554433
58064,0.48938815678085673,0.015673500197528077
